#功体编号	功体名称	功体叙述	提升叙述	每次重数提升能力	最高重数提升能力	经验曲线	图片icon	效果	开启条件	效果	开启条件	效果	开启条件	效果
#ID	Name	Desc	sUpgradeNotes	LevelUP	MaxUP	iExp	sIcon1	ConditionEffectID1	sConditions	ConditionEffectID2	sConditions	ConditionEffectID3	sConditions	ConditionEffectID3
60001	逍遥雁行式	逍遥心法，海纳百川，不拘一格，是以修习法门亦取逍遥物外之意，传授之初仅授强身健体之基本口诀和中心要旨，往后如何修练全凭弟子自行悟出。荆棘自军队之雁行阵中得悟，气出丹田，将全身气劲于双臂之上，一刀一剑分从两侧进击，以攻代守，锐不可当。	气血+60，内力+30<br>满重增益：暴击+5%，移动距离+1	(1,60)*(3,30)	(4,1)*(53,5)	3	NeigongImage22	100015	(10,0,60001,1)	100014	(10,0,60001,7)	100016	(10,0,60001,10)	987024
60002	小无相功	不着形相，无迹可寻，身具此功者可模拟天下武功发劲。运行此功体后，反击能力获得飞跃性的提高，并能模仿对手发劲，若与敌人所执武器相近，能以对手的武功反击对手。闪避成功后，还能获得内力持续恢复的归元状态。	气血+120，内力+50<br>满重增益：反击+10%	(1,120)*(3,50)	(52,10)	6	NeigongImage23	100042	(10,0,60002,1)	100021	(10,0,60002,7)	100051	(10,0,60002,10)	987024
60003	逍遥鹏飞式	逍遥心法，海纳百川，不拘一格，是以修习法门亦取逍遥物外之意，传授之初仅授强身健体之基本口诀和中心要旨，往后如何修练全凭弟子自行悟出。谷月轩自逍遥游中所述大鹏得悟，运气为翼，展翅千里，护友退敌，将其修习法门命名为鹏飞。	气血+80，内力+40<br>满重增益：气血+400	(1,80)*(3,40)	(1,400)	4	NeigongImage24	100011	(10,0,60003,1)	100012	(10,0,60003,7)	100013	(10,0,60003,10)	987024
60004	大湿婆密咒	孔雀王朝不传秘咒，历代都是由圣女持咒。大祭师会将咒法刺在圣女的背上，当圣女卸除职责时，通常也是她们生命告终之时。祭师团会立刻焚毁圣女的遗体，以避免密咒外传。修练此密咒，可使残肢重生，使修习者拥有神话般的自愈能力。	气血+200<br>满重增益：暴击+5%，反击+5%	(1,200)	(52,5)*(53,5)	8	NeigongImage25	100029	(10,0,60004,1)	100053	(10,0,60004,7)	100054	(10,0,60004,10)	987024
60005	日月神功	日月神功为逍遥谷进阶心法，功成者可自由调息阴阳内劲，令敌人难以应对。在战斗中运行日月神功，可以有效提升攻击力与防御力。	气血+90，内力+50<br>满重增益：暴击+5%，反击+5%，内力+200	(1,90)*(3,50)	(53,5)*(52,5)*(3,200)	7	NeigongImage26	100075	(10,0,60005,1)	100076	(10,0,60005,7)	500023	(10,0,60005,10)	987024
60006	侠隐诀	游侠傅剑寒在一次奇遇中，所习得的内功心法，可以激发出修习者自身的潜能。至于这套心法的由来、傅剑寒又是如何习得的？这又是另外一个故事了。	气血+90，内力+40<br>满重增益：暴击+10%，气血+200	(1,90)*(3,40)	(53,10)*(1,200)	6	NeigongImage27	100017	(10,0,60006,1)	100024	(10,0,60006,7)	100070	(10,0,60006,10)	987009
60007	心合意气流	配合武者呼吸吐讷，以施展拔刀术的精神统一技术，源自东瀛剑术流派。讲究心、气、技合一，只要武者进入天人合一之际，就没有斩杀不了的人。	气血+100，内力+40<br>满重增益：暴击+5%，气血+200	(1,100)*(3,40)	(53,5)*(1,200)	5	NeigongImage28	100016	(10,0,60007,1)	100017	(10,0,60007,7)	100039	(10,0,60007,10)	987009
60008	冰火玄功	体内同时拥有阴阳两道真气，并加以融会贯通，使修习者能够同时发出至阴与至阳的内力伤敌。最高能达到九重天境，被称为冰火九重天。	气血+50，内力+50<br>满重增益：闪避+10%，暴击+10%	(1,50)*(3,30)	(51,10)*(53,10)	5	NeigongImage29	100077	(10,0,60008,1)	100073	(10,0,60008,7)	100070	(10,0,60008,10)	987024
60009	龙腾豹变	卫家堡堡主银枪卫豹的成名绝技，论力，豹虽不及虎，然胜在行动迅速，神出鬼没。此功精妙之处即在一「变」字，八方挪移、分气化劲、易筋变穴皆为此功奥妙所在。	气血+50，内力+30<br>满重增益：闪避+8%，移动距离+1	(1,50)*(3,30)	(4,1)*(51,8)	3	NeigongImage30	100077	(10,0,60009,1)	100045	(10,0,60009,7)	100147	(10,0,60009,10)	987009
60010	天罡功	河洛大侠江天雄所创，辅以其三十六路天罡拳法，可发挥出最大威力。其运功脉络与天相暗合，乃依循自然天道法门，使内劲生生不息，永不枯竭。	气血+80，内力+40<br>满重增益：暴击+5%，气血+200	(1,80)*(3,40)	(53,5)*(1,200)	6	NeigongImage31	100067	(10,0,60010,1)	100026	(10,0,60010,7)	100064	(10,0,60010,10)	987024
